#ancho,alto
800,480
#x,y inicial para dibujar
100,140
#espesor (en pixeles)
2
#Rellenos
#x,y,ancho,alto,RGBcolor (en pixeles)
0,0,99,198,63-224-208
495,0,99,198,63-224-208
99,165,66,33,255-255-255
132,33,330,132,255-255-255
429,0,66,33,255-255-255
#Bordes
#1: linea horizontal
#2: linea vertical
#tipo_linea,longitud,x,y (en pixeles)
1,103,-2,-2
1,169,427,-2
1,299,130,31
1,33,462,33
1,33,99,163
1,299,165,165
1,169,-2,198
1,103,493,198
2,198,-2,0
2,165,99,0
2,132,130,33
2,33,165,165
2,33,427,0
2,134,462,33
2,165,493,33
2,200,594,0
